season,bowler,runs_conceded,balls_bowled,wickets,extras_conceded,wides,noballs,economy,bowling_avg,bowling_sr
2015,I Sharma,154,89,1,7,1,4,10.85,161.0,89.0
2015,IC Pandey,220,189,11,8,3,0,7.24,20.73,17.18
2015,Imran Tahir,297,220,15,18,7,0,8.59,21.0,14.67
2015,Iqbal Abdulla,142,121,4,8,7,0,7.44,37.5,30.25
2015,J Botha,79,62,1,3,2,0,7.94,82.0,62.0
2015,J Suchith,330,239,10,8,5,0,8.49,33.8,23.9
2015,J Theron,38,26,1,3,2,0,9.46,41.0,26.0
2015,J Yadav,29,42,2,0,0,0,4.14,14.5,21.0
2015,JA Morkel,107,74,3,6,2,0,9.16,37.67,24.67
2015,JD Unadkat,30,18,0,0,0,0,10.0,inf,inf
2015,JJ Bumrah,176,98,3,8,7,1,11.27,61.33,32.67
2015,JP Duminy,121,107,8,7,5,0,7.18,16.0,13.38
2015,JP Faulkner,415,281,9,18,10,1,9.25,48.11,31.22
2015,KA Pollard,115,81,6,6,4,1,8.96,20.17,13.5
2015,KC Cariappa,28,12,1,0,0,0,14.0,28.0,12.0
2015,KV Sharma,332,239,11,6,0,0,8.49,30.73,21.73
2015,Karanveer Singh,154,87,2,5,3,0,10.97,79.5,43.5
2015,M Morkel,200,174,12,12,5,1,7.31,17.67,14.5
2015,M Vijay,28,24,0,0,0,0,7.0,inf,inf
2015,M de Lange,24,26,1,6,2,0,6.92,30.0,26.0
2015,MA Starc,275,272,22,31,13,1,6.75,13.91,12.36
2015,MC Henriques,151,157,11,13,7,0,6.27,14.91,14.27
2015,MG Johnson,325,231,11,21,11,2,8.99,31.45,21.0
2015,MJ McClenaghan,363,305,18,32,21,2,7.77,21.94,16.94
2015,MM Sharma,473,350,15,9,6,2,8.26,32.13,23.33
2015,NLTC Perera,54,37,1,1,1,0,8.92,55.0,37.0
2015,NM Coulter-Nile,312,264,16,19,8,1,7.52,20.69,16.5
2015,P Kumar,315,230,7,23,14,0,8.82,48.29,32.86
2015,P Negi,249,183,7,10,3,0,8.49,37.0,26.14
2015,P Suyal,88,67,0,9,3,4,8.69,inf,inf
2015,PJ Cummins,87,66,1,16,6,0,9.36,103.0,66.0
2015,PP Chawla,262,212,12,13,2,0,7.78,22.92,17.67
2015,PP Ojha,23,12,0,0,0,0,11.5,inf,inf
2015,PV Tambe,266,204,7,1,0,0,7.85,38.14,29.14
2015,Parvez Rasool,31,30,1,0,0,0,6.2,31.0,30.0
2015,R Ashwin,219,240,10,10,5,1,5.72,22.9,24.0
2015,R Bhatia,46,30,0,1,0,0,9.4,inf,inf
2015,R Dhawan,103,79,1,8,6,1,8.43,111.0,79.0
2015,R Tewatia,31,18,2,0,0,0,10.33,15.5,9.0
2015,R Vinay Kumar,363,265,9,8,3,1,8.4,41.22,29.44
2015,RA Jadeja,328,258,12,6,2,0,7.77,27.83,21.5
2015,RG More,57,37,1,6,2,0,10.22,63.0,37.0
2015,RN ten Doeschate,3,7,1,1,1,0,3.43,4.0,7.0
2015,RS Bopara,153,123,8,11,3,0,8.0,20.5,15.38
2015,S Aravind,130,110,10,2,2,0,7.2,13.2,11.0
2015,S Gopal,23,13,1,0,0,0,10.62,23.0,13.0
2015,S Nadeem,41,44,0,2,2,0,5.86,inf,inf
2015,SA Abbott,55,32,0,2,2,0,10.69,inf,inf
2015,SK Raina,87,78,3,7,6,0,7.23,31.33,26.0
2015,SL Malinga,425,378,26,28,14,4,7.19,17.42,14.54
2015,SN Thakur,36,20,1,3,2,0,11.7,39.0,20.0
2015,SP Narine,230,196,7,16,4,0,7.53,35.14,28.0
2015,SR Watson,250,193,8,23,17,2,8.49,34.12,24.12
2015,STR Binny,135,119,8,8,5,0,7.21,17.88,14.88
2015,Sandeep Sharma,339,311,13,20,10,1,6.93,27.62,23.92
2015,Shakib Al Hasan,118,89,5,5,5,0,8.29,24.6,17.8
2015,Shivam Sharma,44,18,1,0,0,0,14.67,44.0,18.0
2015,TA Boult,222,181,10,17,13,0,7.92,23.9,18.1
2015,TG Southee,240,175,9,15,6,1,8.74,28.33,19.44
2015,UT Yadav,367,266,12,20,12,2,8.73,32.25,22.17
2015,V Kohli,10,11,1,0,0,0,5.45,10.0,11.0
2015,VR Aaron,164,113,4,16,9,0,9.56,45.0,28.25
2015,YK Pathan,97,60,2,3,0,0,10.0,50.0,30.0
2015,YS Chahal,413,283,24,3,2,0,8.82,17.33,11.79
2015,Yuvraj Singh,71,55,1,4,1,0,8.18,75.0,55.0
2015,Z Khan,145,155,8,14,10,0,6.15,19.88,19.38
2016,A Ashish Reddy,39,23,1,1,0,0,10.43,40.0,23.0
2016,A Mishra,332,284,14,18,6,2,7.39,25.0,20.29
2016,A Nehra,192,161,11,8,5,0,7.45,18.18,14.64
2016,A Zampa,110,103,12,7,1,0,6.82,9.75,8.58
2016,AB Dinda,222,192,13,14,8,1,7.38,18.15,14.77
2016,AD Russell,282,224,19,19,5,0,8.06,15.84,11.79
2016,AF Milne,38,25,1,6,1,0,10.56,44.0,25.0
2016,AR Patel,381,294,13,14,7,0,8.06,30.38,22.62
2016,AS Rajpoot,88,72,3,13,5,1,8.42,33.67,24.0
2016,Ankit Sharma,78,70,1,6,4,0,7.2,84.0,70.0
2016,Anureet Singh,41,38,1,3,0,2,6.95,44.0,38.0
2016,B Kumar,466,414,24,37,17,1,7.29,20.96,17.25
2016,BB Sran,398,312,14,22,15,0,8.08,30.0,22.29
2016,BCJ Cutting,79,68,5,1,1,0,7.06,16.0,13.6
2016,Bipul Sharma,121,84,5,2,0,0,8.79,24.6,16.8
2016,C Munro,15,12,0,0,0,0,7.5,inf,inf
2016,CH Gayle,57,65,2,8,4,1,6.0,32.5,32.5
2016,CH Morris,294,274,16,26,9,1,7.01,20.0,17.12
2016,CJ Jordan,241,181,13,25,11,2,8.82,20.46,13.92
2016,CR Brathwaite,181,143,9,11,1,3,8.06,21.33,15.89
2016,D Wiese,46,27,0,3,2,1,10.89,inf,inf
2016,DJ Bravo,481,348,19,21,11,1,8.66,26.42,18.32
2016,DJ Hooda,94,80,3,3,2,0,7.28,32.33,26.67
2016,DL Chahar,38,33,0,4,3,0,7.64,inf,inf
2016,DR Smith,148,113,8,6,4,1,8.18,19.25,14.12
2016,DS Kulkarni,361,297,20,4,3,0,7.37,18.25,14.85
2016,DW Steyn,16,13,0,1,1,0,7.85,inf,inf
2016,GB Hogg,136,98,5,8,2,0,8.82,28.8,19.6
2016,GJ Maxwell,78,55,0,3,1,0,8.84,inf,inf
2016,Gurkeerat Singh,29,26,2,2,2,0,7.15,15.5,13.0
2016,HH Pandya,147,106,3,8,6,0,8.77,51.67,35.33
2016,HV Patel,141,90,2,6,5,1,9.8,73.5,45.0
2016,Harbhajan Singh,386,300,9,16,6,0,8.04,44.67,33.33
2016,I Sharma,135,97,3,16,6,1,9.34,50.33,32.33
2016,IK Pathan,61,48,0,0,0,0,7.62,inf,inf
2016,Imran Tahir,137,97,5,4,1,0,8.72,28.2,19.4
2016,Iqbal Abdulla,208,155,7,8,5,0,8.36,30.86,22.14
2016,J Suchith,29,14,0,2,2,0,13.29,inf,inf
2016,J Yadav,123,104,2,2,2,0,7.21,62.5,52.0
2016,JA Morkel,61,34,3,5,4,0,11.65,22.0,11.33
2016,JD Unadkat,48,19,0,1,1,0,15.47,inf,inf
2016,JJ Bumrah,396,322,18,17,6,4,7.7,22.94,17.89
2016,JO Holder,98,83,3,7,4,1,7.59,35.0,27.67
2016,JP Duminy,54,43,2,1,1,0,7.67,27.5,21.5
2016,JP Faulkner,160,108,2,8,4,2,9.33,84.0,54.0
2016,JW Hastings,35,42,2,2,2,0,5.29,18.5,21.0
2016,KA Pollard,80,37,0,2,1,0,13.3,inf,inf
2016,KC Cariappa,156,105,3,4,2,1,9.14,53.33,35.0
2016,KH Pandya,225,194,7,13,7,0,7.36,34.0,27.71
2016,KJ Abbott,170,102,2,12,5,1,10.71,91.0,51.0
2016,KS Williamson,7,6,0,0,0,0,7.0,inf,inf
2016,KV Sharma,169,100,1,5,2,0,10.44,174.0,100.0
2016,KW Richardson,130,86,8,8,2,0,9.63,17.25,10.75
2016,Kuldeep Yadav,94,74,7,8,2,0,8.27,14.57,10.57
2016,M Ashwin,234,176,7,11,5,0,8.35,35.0,25.14
2016,M Morkel,290,220,10,9,5,2,8.15,29.9,22.0
2016,M Vijay,7,7,0,1,1,0,6.86,inf,inf
2016,MC Henriques,409,318,14,9,6,0,7.89,29.86,22.71
2016,MG Johnson,103,69,3,5,2,1,9.39,36.0,23.0
2016,MJ McClenaghan,424,332,18,25,11,1,8.11,24.94,18.44
2016,MM Sharma,394,304,16,16,13,0,8.09,25.62,19.0
2016,MP Stoinis,191,140,9,12,2,0,8.7,22.56,15.56
2016,MR Marsh,44,55,4,1,1,0,4.91,11.25,13.75
2016,Mohammed Shami,235,156,8,17,4,1,9.69,31.5,19.5
2016,Mustafizur Rahman,411,376,19,16,10,0,6.81,22.47,19.79
2016,N Rana,3,6,0,0,0,0,3.0,inf,inf
2016,NLTC Perera,323,202,10,3,3,0,9.68,32.6,20.2
